country,year,lat,lon
zimbabwe,2016,-22.279167,30.287498
zimbabwe,2016,-22.270832,29.979166
zimbabwe,2016,-22.262499,29.945833
zimbabwe,2016,-22.262499,29.979166
zimbabwe,2016,-22.262499,29.9875
zimbabwe,2016,-22.262499,30.037498
zimbabwe,2016,-22.254166,29.9625
zimbabwe,2016,-22.254166,29.979166
zimbabwe,2016,-22.254166,29.9875
zimbabwe,2016,-22.254166,29.995832
zimbabwe,2016,-22.245832,29.954166
zimbabwe,2016,-22.245832,29.9625
zimbabwe,2016,-22.245832,29.970833
zimbabwe,2016,-22.245832,29.979166
zimbabwe,2016,-22.245832,29.9875
zimbabwe,2016,-22.245832,29.995832
zimbabwe,2016,-22.245832,30.004166
zimbabwe,2016,-22.2375,29.954166
zimbabwe,2016,-22.2375,29.9625
zimbabwe,2016,-22.2375,29.970833
zimbabwe,2016,-22.2375,29.979166
zimbabwe,2016,-22.2375,29.9875
zimbabwe,2016,-22.2375,29.995832
zimbabwe,2016,-22.2375,30.004166
zimbabwe,2016,-22.2375,30.029165
zimbabwe,2016,-22.2375,30.037498
zimbabwe,2016,-22.2375,30.045832
zimbabwe,2016,-22.229166,29.945833
zimbabwe,2016,-22.229166,29.954166
zimbabwe,2016,-22.229166,29.9625
zimbabwe,2016,-22.229166,29.970833
zimbabwe,2016,-22.229166,29.979166
zimbabwe,2016,-22.229166,29.9875
zimbabwe,2016,-22.229166,29.995832
zimbabwe,2016,-22.229166,30.029165
zimbabwe,2016,-22.229166,30.037498
zimbabwe,2016,-22.220833,29.929165
zimbabwe,2016,-22.220833,29.945833
zimbabwe,2016,-22.220833,29.954166
zimbabwe,2016,-22.220833,29.970833
zimbabwe,2016,-22.220833,29.979166
zimbabwe,2016,-22.220833,29.9875
zimbabwe,2016,-22.220833,29.995832
zimbabwe,2016,-22.220833,30.004166
zimbabwe,2016,-22.220833,30.029165
zimbabwe,2016,-22.220833,30.054165
zimbabwe,2016,-22.220833,30.395832
zimbabwe,2016,-22.2125,29.9625
zimbabwe,2016,-22.2125,29.970833
zimbabwe,2016,-22.2125,29.979166
zimbabwe,2016,-22.2125,29.9875
zimbabwe,2016,-22.2125,29.995832
zimbabwe,2016,-22.2125,30.029165
zimbabwe,2016,-22.2125,30.037498
zimbabwe,2016,-22.2125,30.045832
zimbabwe,2016,-22.204166,29.9625
zimbabwe,2016,-22.204166,29.970833
zimbabwe,2016,-22.204166,29.979166
zimbabwe,2016,-22.204166,29.9875
zimbabwe,2016,-22.204166,29.995832
zimbabwe,2016,-22.195833,29.954166
zimbabwe,2016,-22.195833,29.9625
zimbabwe,2016,-22.195833,29.970833
zimbabwe,2016,-22.195833,29.979166
zimbabwe,2016,-22.195833,29.9875
zimbabwe,2016,-22.195833,29.995832
zimbabwe,2016,-22.195833,30.004166
zimbabwe,2016,-22.1875,29.9375
zimbabwe,2016,-22.1875,29.954166
zimbabwe,2016,-22.1875,29.9625
zimbabwe,2016,-22.1875,29.970833
zimbabwe,2016,-22.1875,29.979166
zimbabwe,2016,-22.1875,29.9875
zimbabwe,2016,-22.1875,29.995832
zimbabwe,2016,-22.1875,30.004166
zimbabwe,2016,-22.1875,30.012499
zimbabwe,2016,-22.1875,30.045832
zimbabwe,2016,-22.179167,29.5625
zimbabwe,2016,-22.179167,29.6875
zimbabwe,2016,-22.179167,29.929165
zimbabwe,2016,-22.179167,29.9625
zimbabwe,2016,-22.179167,29.970833
zimbabwe,2016,-22.179167,29.979166
zimbabwe,2016,-22.179167,29.9875
zimbabwe,2016,-22.179167,29.995832
zimbabwe,2016,-22.179167,30.004166
zimbabwe,2016,-22.179167,30.012499
zimbabwe,2016,-22.179167,30.020832
zimbabwe,2016,-22.179167,30.029165
zimbabwe,2016,-22.179167,30.054165
zimbabwe,2016,-22.170834,29.5625
zimbabwe,2016,-22.170834,29.895832
zimbabwe,2016,-22.170834,29.904165
zimbabwe,2016,-22.170834,29.970833
zimbabwe,2016,-22.170834,29.995832
zimbabwe,2016,-22.170834,30.004166
zimbabwe,2016,-22.170834,30.020832
zimbabwe,2016,-22.1625,29.570833
zimbabwe,2016,-22.1625,29.904165
zimbabwe,2016,-22.1625,29.9875
zimbabwe,2016,-22.1625,30.004166
zimbabwe,2016,-22.1625,30.020832
zimbabwe,2016,-22.1625,30.037498
zimbabwe,2016,-22.154167,29.570833
